,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2019-06-17,0.032236144,0.05004759,0.47488543,0.0736447,0.00085245044,0.00080379,0.016530527,0.008876215,0.008741228,0.022588868,0.0015190328,0.006638083,0.057286333,0.020640576,0.012302599,0.0013057244,0.017491046,0.054948486,0.010850832,0.031908277,0.0009912585,0.026077347,0.014610519,0.0025764909,0.01402705,0.001414775,0.018757286,0.0061689294,0.011278447
2019-06-18,0.026145538,0.07181751,0.19753142,0.071163654,0.0046242042,0.004588888,0.034621295,0.03793853,0.036929507,0.02639579,0.009782965,0.014543012,0.058606524,0.026787572,0.029079124,0.006866855,0.022254188,0.051854387,0.01897093,0.061814167,0.005182062,0.043689847,0.026705662,0.008262,0.030764332,0.0054847416,0.029355293,0.013382958,0.024857096
2019-06-19,0.022230962,0.07580412,0.15999945,0.06589386,0.005624901,0.0056095445,0.034836404,0.04752192,0.047483705,0.023239305,0.013587123,0.014721991,0.056665823,0.027915217,0.029882707,0.008446214,0.021634923,0.05025586,0.019703563,0.071576275,0.0062004267,0.043599978,0.02510182,0.009607282,0.036520764,0.006486608,0.028689312,0.013540421,0.027619492
2019-06-20,0.020572843,0.06624431,0.10326463,0.061751705,0.008835654,0.008359024,0.03334852,0.053947333,0.055608097,0.019870501,0.026089983,0.015209691,0.051723048,0.03509757,0.027405586,0.012514086,0.027273461,0.052045934,0.02179495,0.07553398,0.008841667,0.036438104,0.020734634,0.015811471,0.05872878,0.010049155,0.026358396,0.01316391,0.03338299
2019-06-21,0.020889299,0.065456755,0.106096305,0.06514,0.008721516,0.008056808,0.033856668,0.052374084,0.053039115,0.020096662,0.026242267,0.014875297,0.051925816,0.03549457,0.027003907,0.012455176,0.028184079,0.053146545,0.02209262,0.0731281,0.008741208,0.03522436,0.020336028,0.016145788,0.058414873,0.009976711,0.026219493,0.012994544,0.033671416
2019-06-24,0.018871576,0.062605396,0.08199397,0.056231048,0.0106588965,0.010162704,0.030987857,0.057698224,0.06083665,0.018496195,0.032654855,0.015549567,0.04950726,0.03710772,0.026483303,0.014303598,0.0283173,0.04953796,0.022039706,0.07834707,0.010160524,0.03484214,0.019615823,0.018306855,0.06883383,0.0118738385,0.02576062,0.013011964,0.035203595
2019-06-25,0.02864908,0.06440386,0.11791015,0.050629787,0.007841292,0.0075910725,0.023099318,0.0346644,0.04429578,0.019805215,0.022544317,0.014811035,0.05762115,0.047031503,0.020507796,0.009925735,0.03524645,0.06558217,0.024241656,0.07673119,0.0072888886,0.03469392,0.0168752,0.016007442,0.071992785,0.010883436,0.02579694,0.01270546,0.030623002
2019-06-26,0.042095788,0.066084415,0.19044924,0.044911638,0.0045034504,0.0045582405,0.01876898,0.019682605,0.027186368,0.020187708,0.01110317,0.013102745,0.064430065,0.046675574,0.016367802,0.0055205743,0.03440644,0.08742764,0.023490012,0.06998919,0.0041747508,0.036501154,0.014290083,0.010800993,0.05687518,0.0076869414,0.023526108,0.011434448,0.023768634
2019-06-27,0.04431118,0.06346435,0.28012708,0.049181588,0.0025594726,0.0025560574,0.016605679,0.013115485,0.017719332,0.020038355,0.0063602137,0.0102619715,0.06567258,0.040437557,0.013280834,0.0033185522,0.031394996,0.09058762,0.020048678,0.05832532,0.0024317396,0.03209024,0.012645132,0.007168709,0.04140796,0.0047828713,0.021657934,0.00920526,0.019243274
2019-06-28,0.049671855,0.060662832,0.28109175,0.05469131,0.0027162933,0.0026676424,0.020663515,0.013811773,0.017591732,0.022704223,0.0062416904,0.010935595,0.06096881,0.036803655,0.015585276,0.003809071,0.029264966,0.08614298,0.020465761,0.052562498,0.0027681538,0.0336952,0.014504859,0.007568834,0.035441466,0.0050709285,0.021974534,0.011014285,0.018908422
