Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2019-03-20,124140800,2378700,3309300,8737600,3522100,4391000,21140800,6708500,35588700,2350800.0,5033500,4772600,2518496,3817377,24325300,5475700,14920700,13376100,3522400,2074582,11894590,28113300,5991500,7513800,1339500,4193500,6391400,11902900,18969300
2019-03-21,204136800,2292900,3111000,6951000,2635700,4277800,20082700,5050400,27438900,1764700.0,4031500,4755700,2070966,3771248,19127200,5765100,19751000,20043000,2830200,2736568,9473291,29854400,10386900,8221000,1527500,2699700,7027100,10920100,19653000
2019-03-22,169630800,3144700,3737400,10143900,5745800,5614300,23938500,5786800,24133800,844700.0,5703100,5173600,2579185,4055551,21438400,6528800,31115200,19055900,3319600,3248456,10639191,33624500,21659800,11035900,2352800,3777900,8119800,25125400,20124300
2019-03-25,175381200,2523700,3596200,7939600,3199800,3795400,18774900,3837500,18187500,440900.0,3751000,3845900,2173459,2970431,16971400,4500300,21032300,11668200,2651600,2416638,7878654,27067100,15558300,6955500,1143500,4110900,7568000,15463400,16222200
2019-03-26,199202000,2359100,2844500,6479700,2638200,6910300,17742700,4079800,16693100,504700.0,2910100,4143300,2349478,2671170,17724300,4758600,15987100,11434900,2609600,2267138,9242731,26097700,9611900,6909400,1501100,4416200,15594400,12316900,14837700
2019-03-27,119393600,2022600,3346600,9600000,2378300,8218700,20447500,3727800,10794800,1788600.0,2343800,4298400,2933347,3240717,19656000,6764900,12753200,11543600,1684800,2396784,10020766,22733400,6485100,6037100,1198700,4819200,12253800,13290300,25413600
2019-03-28,83121600,1885600,2693300,4921300,2487200,4424800,13095000,4057700,11748900,585400.0,2343400,3326100,2312131,2786439,13607900,4602100,12454100,11121100,1977100,1998038,7161298,18334800,6032700,6793700,732400,3601500,16902200,20547100,24162900
2019-03-29,94256000,3189700,4891000,7694700,4681600,4913100,19582300,5318600,16358800,1769000.0,2632800,4674100,2869687,3244064,18736100,7168400,14523400,16045600,2952000,3418527,10147994,25399800,6492000,7535400,1328400,4294200,12164400,17283900,22319700
2019-04-01,111448000,2660500,5125100,7735700,5081500,4601100,19741700,5506300,10785100,19663400.0,3562600,5381400,2539610,4167578,17830400,5885200,17499300,11522700,3195100,3095726,8820282,22789100,6737400,6626500,1547400,4809500,6420100,16331100,25517400
2019-04-02,91062800,2141800,3568900,6401000,2529000,3158400,17264000,4362700,9231800,17414200.0,2247000,2717800,3535995,2515421,13704500,5517800,10295400,8495000,1797700,1690546,5875088,18142300,4433800,6088800,1050200,4057100,6215100,11408100,18822000
2019-04-03,93087200,1948100,3719700,7350300,4821800,3819100,21110400,3595400,10534900,15066200.0,3227900,4581500,4047927,2804535,24552800,5947000,11499200,12854500,2512300,1877720,6550734,22860700,4080900,5226500,1122000,2851400,8209300,15491700,17062500
2019-04-04,76457200,1785900,3619600,9388100,2988900,6295200,16412100,3715400,14378400,13309200.0,2582300,3138400,2087305,2898571,16520500,5844600,11952100,7814900,2324900,1866836,10257719,20112800,3660700,4786100,1115200,2255500,5100200,8776000,12078900
2019-04-05,74106400,2163300,4553700,6857200,2812300,4315300,13817500,5551400,10907900,17000800.0,2447100,3615300,1851445,2857463,19268400,4759700,9933700,7677600,2438400,1663756,10324162,15826200,7367400,4281800,1090400,3343000,4178300,11497800,13968000
2019-04-08,103526800,1629800,4776600,14482600,2497300,2848400,13862800,5483100,11054200,10764600.0,1891500,3040900,1967094,2215637,11758800,4329600,8056300,9421300,2290100,1351480,10586267,15116200,4705800,8468600,1006300,2195400,5604700,11680500,16267200
2019-04-09,143072800,1872600,2869300,7980100,3316500,5642900,15508400,4143400,17340300,9179900.0,2400900,3721700,2050383,3178271,13339700,5210300,9092200,8641800,2279500,1813734,10785282,17612000,3804500,5820300,1377700,2903800,6364100,10414400,13102500
2019-04-10,86781200,1653200,2650100,8285000,3310600,3414700,13460200,3970000,14091100,9081900.0,1907100,3587500,2526241,2801188,13084000,4194100,10882300,8059900,2406800,1612926,6894268,16477200,3918400,5394300,1250600,2753700,3918600,8782100,12273300
2019-04-11,83603200,2082600,2320600,6598400,2762900,2578400,13186000,3248300,12784500,7346100.0,2802100,2465100,1863328,3077332,10845800,4485200,11183800,7352400,1740400,1412715,10410518,14209100,3347400,5078400,955900,8223400,5771400,9219900,16820700
2019-04-12,111042800,2060800,2316900,7334600,4383000,2844200,14331700,42693700,65253500,9281700.0,5096600,3097900,2248153,3032249,12910200,5756800,25834100,10690000,3238800,2299190,10164762,19745100,6037000,6707900,1098300,13979400,6745100,10847500,15486000
2019-04-15,70146400,2038300,2285000,3822100,3030200,2608400,12198400,13369100,32773700,5727300.0,6617200,3049900,2538761,3768947,11676900,5380900,15163800,10261300,1973500,1774027,13822491,15792600,5034900,5639200,779100,10021800,8142800,7741500,15335700
2019-04-16,102785600,2727300,2523400,7083800,2672800,3004800,19718300,11942900,14564300,6681600.0,4852600,3271400,3190533,6591578,30301900,10745700,11583200,10804600,1559200,1853322,12531250,14071800,4652700,8136100,1038500,27361400,6021400,10239300,14485200
2019-04-17,115627200,5242100,3799900,4424400,3469400,4765500,26093600,11898100,14253700,6420700.0,4195300,3271900,3624800,13101882,38788400,9543700,17791900,11849300,1875000,2365210,34181463,19300900,5694900,6778100,1434500,22101400,4609100,15498000,11187600
2019-04-18,96783200,8266600,6186800,4703100,4504500,4391500,18332000,9546500,11890600,5178800.0,2874300,3162500,6765891,5188160,20464200,10485300,12501900,12167000,2918400,2129000,32768445,27991000,7016600,7248900,2199200,13927200,7859400,13189000,11183400
2019-04-22,77758000,3215800,3174400,4147700,3637500,2943300,11951500,7946200,10197500,4401700.0,1591400,2593900,3463847,4700724,12327500,4666500,7975900,9834700,1738400,1678586,14548441,15648700,5390500,9057200,1254000,11191800,4602600,11950400,15238200
2019-04-23,93292000,3471700,3342800,4894500,5930500,3418400,18796600,9079200,12159300,5687200.0,2120900,3702600,4423733,4667461,17739900,5790500,9193100,25327800,2192900,1867913,19281523,24025500,7513700,15979800,1389900,10261400,6522900,23488700,15152400
2019-04-24,70162400,2711600,2318400,9855100,8694400,3384900,13212000,22115000,11449500,5431300.0,4606100,2750900,4058537,2902545,17723700,5676300,9245700,15997300,3070100,2450484,12779102,31257000,8063000,10094800,1161200,6104100,7376500,13227100,14093400
2019-04-25,74172800,2453700,4595200,6615000,5094700,5498400,15526900,10636400,16382500,6260500.0,2075300,3292100,3544058,3043965,27949900,5218100,9311800,11444400,2040800,17516855,13994154,38033900,7069900,6085300,1129000,5954500,8862500,17425500,11883300
2019-04-26,74596400,2445400,2990600,4259600,5119200,3342900,18010900,11626700,14167600,4009800.0,1543100,3560300,2868201,2426511,72364500,4613600,7889300,10154300,2302100,5371595,8888193,23654900,6219600,7747400,776900,6186200,7525400,16329700,24323100
2019-04-29,88818800,2662500,3096200,5457300,3374300,4509700,16259500,9404000,25746100,5935200.0,2997000,3785200,3122629,3094382,42142300,4275200,14242200,9731500,3456100,4548866,7395317,16324200,5008400,4787600,983800,5345300,10003600,13985000,19139100
2019-04-30,186139600,3963000,2387900,3732800,3862000,3581800,20846000,21431500,15253100,6454100.0,1833000,3415600,3874454,4852185,27130900,6003700,11389100,17912900,6162300,5431036,11269039,24166500,7614100,8251300,1558600,7632300,6432700,15469000,18400800
2019-05-01,259309200,6109100,2450500,2765600,3652000,2707700,17648500,10097000,8906700,7644400.0,1981800,4644700,3991694,3194170,20467600,6656300,10412900,10551200,4059600,4566926,15288643,26821700,6524600,6733800,1249300,4823200,5248100,11627400,16011600
2019-05-02,127985200,3014000,2538700,2438800,5405700,3181100,24220600,9495600,16580400,13932700.0,1514700,2810000,4691318,3704304,22655400,8835600,8613300,8724600,2418000,6763260,11579142,27350200,6813700,6270300,1050800,5499200,6054900,14435400,15021000
2019-05-03,83569600,2944500,2856200,2953800,4154800,3131000,26887100,7364900,8874400,7401700.0,1897600,3583400,4380445,2698575,25656600,5281600,8185400,7076900,2915200,5678249,7942582,24911100,6798300,4793400,1109200,4323100,4317500,9388200,15950700
2019-05-06,129772400,2735000,2924500,4747600,4866500,2520600,17025900,11035000,9955600,6089500.0,1927800,2619400,3184804,2921792,26245200,5818900,9387000,8657800,2371300,7795050,9906534,24239800,12836600,4890400,969700,7180200,10442400,10066100,13841100
2019-05-07,155054800,2797000,6282300,9740300,5622900,6541900,25289700,9165200,10972700,7330800.0,2839500,4622100,4969618,4944233,29713400,6606700,15017700,12487500,3072500,6477058,10523387,36017700,9811300,6021700,1191000,5104700,6413600,12963800,13726800
2019-05-08,105358000,3368400,4037500,6030000,4140500,4061300,21525100,6229000,15423500,5390700.0,1817600,3122600,3076476,3994569,36812400,4667300,9575800,9281400,2040900,3576638,10567508,28419000,9501300,5392600,1011300,3768400,5445900,12086700,17646000
2019-05-09,139634400,2854400,3219600,6075200,5906200,5809300,24322800,16496300,15297100,4579700.0,2333400,2917700,3140136,4385564,59642200,5604200,12205900,11450500,1923600,6097447,8105861,27235800,6336600,6901700,928100,4299500,6813700,14834900,18720300
2019-05-10,164834800,2942300,2435100,4574100,5240600,4462200,21795900,8787900,9858500,4758100.0,2089400,3863600,2485180,4160570,42522800,4771600,13189000,9653800,2668800,5994711,9027158,30915100,5450500,5815800,973100,4374400,5192500,10707100,26228100
2019-05-13,229722400,3371800,3710600,7757800,8580700,5694600,28869900,7701200,11389900,4213100.0,3605600,3325900,3930793,5186068,39091900,5560000,13783700,11911500,2809400,7076373,9641705,33944900,6445200,7575500,1611800,4684400,9730000,13759000,22084500
2019-05-14,146118800,2525300,2460700,4747800,4019100,4954000,25478300,6858500,12001700,4204500.0,2463300,3663600,2780563,3431298,24706500,7179400,10503600,16844200,2787700,4800744,8113826,25266300,7529200,7004000,1775100,5329700,9756700,12776200,19061100
2019-05-15,106178800,2860200,2711400,4810000,2875900,7783800,30577200,6945000,9734100,2928700.0,2271100,3355800,1983433,2668346,23407900,6429400,10142000,11422500,1899000,3606538,7284543,24722700,4862200,5535600,1431100,5099700,7547000,10806300,20220900
2019-05-16,132125600,2716200,4143500,6036500,4316600,5048100,46057800,8543300,9689400,3689700.0,2008100,3854000,3217801,3156096,19954700,6857200,9672700,17771300,2520500,4831242,9910831,30112200,6745200,9284200,1686500,4456400,9745500,11695100,51366000
2019-05-17,131516400,2266600,5273600,5282900,6122600,5314000,27299300,6870900,8964200,4440800.0,1928300,5223800,2222795,2739579,22500400,6915300,9570100,11257000,2239600,5495620,8259707,25770500,5068200,6370200,1721400,4486400,4582500,14436700,37113900
2019-05-20,154449200,2144300,2765600,3219900,6312500,5437600,21004100,4569700,8009000,5168400.0,2483400,4782800,2187464,3414667,28675000,4771100,8518200,13850500,2217400,5232022,8281191,23706900,7181900,6565300,1440600,5390800,4747400,20910600,21582300
2019-05-21,113459200,2249300,3369100,4022600,5492900,3803100,18562300,4859400,7050300,4968400.0,2327600,8555600,2691120,2618661,25543400,4859000,7967900,10587400,2264600,4961247,10873734,15293300,5762500,5226400,1390700,5345300,9095700,14016300,20667300
