Date,PPO-log_return,PPO-dsr,PPO-mdd,Market Index (^DJI),1/N Equal Weight
2021-01-04,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2021-01-05,1000657.0401010186,1005848.114472542,1008465.4461988452,1005548.8880123289,1006231.2021453192
2021-01-06,1020636.7463970844,1017267.5257031393,1018684.8713677278,1020034.1436229307,1019851.496287666
2021-01-07,1020128.3376845062,1024836.9804585363,1028197.6938965011,1027039.5444621883,1026220.8049077543
2021-01-08,1017810.6499125698,1024636.9617557547,1029991.0046331201,1028920.1707672273,1027655.9754484392
2021-01-11,1011687.050939741,1021183.5828753327,1026866.2296532302,1025966.1748337536,1024927.3450347979
2021-01-12,1024950.7500301638,1023717.2834175305,1029601.0884972031,1027951.3593602743,1028421.1203125274
2021-01-13,1028782.3723375706,1027318.8042259987,1031085.5473866573,1027679.430438152,1029077.2937792804
2021-01-14,1029131.4781599193,1026644.8713307746,1029636.537711091,1025398.0837799568,1028219.4191062256
2021-01-15,1021213.6288392677,1021490.7372696347,1020473.7803003741,1019533.1947150666,1020619.4731671052
2021-01-19,1020860.1641352748,1027114.7439708431,1025062.1427633349,1023379.812844661,1025242.1910119257
2021-01-20,1023107.1512891022,1033428.6071392365,1033457.3023879227,1031911.5181543574,1034066.6605964397
2021-01-21,1030248.0165688824,1038288.0287821067,1033969.8105401896,1031502.2030895469,1034259.984533504
2021-01-22,1019618.4583249878,1025377.9648696163,1027648.8513365478,1025578.7665903784,1025268.766507832
2021-01-25,1018461.938418971,1026175.2761831323,1028010.3325469255,1024355.215684612,1024042.1063217174
2021-01-26,1022726.9093812673,1026690.70955288,1023890.1301312716,1023595.520720622,1021818.2872509918
2021-01-27,1017058.3662920264,1007041.5893624445,999649.556180296,1002623.067223828,1001247.8100340383
2021-01-28,1020438.248374438,1016451.487660345,1011992.4037044726,1012555.2581799683,1011591.2877308856
2021-01-29,994845.5297181106,995280.1603403733,991845.3580395965,992017.193042135,990541.2452963698
2021-02-01,1001851.975400317,1002981.358983496,1000285.4056230858,999603.6093136172,999102.3962144793
2021-02-02,1018444.6448596067,1014501.0647165091,1015404.1790581954,1015338.5230744098,1014415.0640519183
2021-02-03,1017411.0279790248,1015907.7582931569,1018492.7059278704,1016533.5757257425,1015503.9874325173
