,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2021-01-04,0.037520688,0.049586985,0.0046348968,0.012439529,0.019402055,0.04966543,0.00445966,0.008067157,0.02319904,0.017037848,0.028639594,0.042398002,0.015085666,0.028788747,0.02894353,0.018176509,0.017639654,0.023917127,0.03780794,0.013457385,0.02081745,0.2573287,0.011069152,0.12095882,0.01521893,0.048611358,0.011982874,0.017383076,0.015762161
2021-01-05,0.037527405,0.04952598,0.004636591,0.012450043,0.019404482,0.049592774,0.0044665113,0.008077963,0.023238648,0.017028669,0.028648853,0.042363312,0.015097525,0.028775597,0.028947659,0.018198192,0.017665211,0.023942273,0.037849624,0.013473025,0.020834967,0.25727168,0.011087032,0.120929025,0.015232147,0.048560098,0.011984536,0.01740735,0.015782805
2021-01-06,0.04321483,0.050174426,0.0039990083,0.011890016,0.017172627,0.049348976,0.0040928656,0.0071464926,0.021182172,0.016673487,0.028389346,0.039844766,0.013789408,0.029010167,0.03066536,0.017576475,0.016277835,0.023959778,0.03551514,0.012320871,0.02010596,0.2760146,0.010915567,0.11500183,0.014760437,0.048881497,0.011142469,0.01654815,0.0143854795
2021-01-07,0.04360392,0.048807982,0.0035687997,0.01128676,0.016911808,0.04580529,0.0037940743,0.0066167586,0.020310288,0.015253934,0.027667243,0.038399298,0.013372025,0.028252471,0.029316418,0.017168393,0.015759282,0.023338117,0.034877032,0.011983714,0.019490188,0.29291338,0.010521293,0.11844859,0.01409474,0.04825091,0.010451157,0.016205782,0.013530352
2021-01-08,0.038475554,0.049344704,0.0048021134,0.01273201,0.01936004,0.04985735,0.0046999897,0.008269791,0.024060795,0.017441109,0.029104766,0.042412646,0.015324417,0.029055394,0.029378634,0.018539574,0.018052839,0.024624351,0.038437683,0.013635647,0.02101393,0.2519595,0.01134104,0.11772227,0.015611016,0.048448287,0.01221494,0.017920872,0.016158827
2021-01-11,0.037442498,0.05009563,0.0048389044,0.012650731,0.019524133,0.050866596,0.0046345354,0.008246383,0.023696719,0.01756496,0.02891996,0.04306611,0.0153105175,0.029195314,0.029350488,0.018304056,0.017831553,0.024250245,0.038234156,0.0135090705,0.020892896,0.25146222,0.01107509,0.118664674,0.015462492,0.04902421,0.012259001,0.017630424,0.01599646
2021-01-12,0.038630255,0.04981671,0.0048176,0.012698458,0.019236147,0.050767146,0.004676312,0.008244449,0.023822218,0.017658392,0.029071528,0.042624928,0.015220317,0.029191213,0.02967194,0.018420687,0.017907279,0.024518298,0.038106177,0.013518023,0.020944744,0.25155342,0.0112808,0.11709443,0.015597997,0.048840225,0.012215232,0.017763957,0.016091043
2021-01-13,0.03761362,0.049931336,0.00484827,0.012690034,0.019502996,0.05072499,0.0046670875,0.008279239,0.023851773,0.017554734,0.028979842,0.042946085,0.015337943,0.029179208,0.029381054,0.01838522,0.017928025,0.024371535,0.038383156,0.013558878,0.02096274,0.25096142,0.011153107,0.11833179,0.015526043,0.048865814,0.012274848,0.017735027,0.01607424
2021-01-14,0.03791493,0.0492407,0.0046222084,0.0124798305,0.01933974,0.04922166,0.0044886386,0.008086766,0.023362827,0.016987031,0.028717935,0.042117305,0.015099792,0.028712884,0.028964467,0.018280152,0.017743038,0.024071222,0.03790586,0.013522844,0.020866143,0.25759733,0.011185414,0.12053542,0.015286033,0.04834462,0.011962746,0.017510395,0.015832055
2021-01-15,0.037489746,0.049501386,0.004637598,0.012453842,0.019409291,0.04955814,0.0044671176,0.008081646,0.023249816,0.017029967,0.028645517,0.042360548,0.015108528,0.028771369,0.02894044,0.018203571,0.017673962,0.023936143,0.037838962,0.013482522,0.020829607,0.2573649,0.011085593,0.12095118,0.015228992,0.04852374,0.01198356,0.017407991,0.01578435
2021-01-19,0.037343483,0.049622644,0.004635464,0.012430321,0.019431066,0.049675923,0.0044483817,0.008063854,0.023157954,0.017040066,0.028603673,0.04245311,0.015096011,0.028789982,0.028918331,0.01815316,0.017616943,0.023858353,0.03775872,0.013450575,0.020793943,0.25754443,0.011032363,0.12120024,0.015188507,0.04862842,0.011979252,0.01734197,0.015742842
2021-01-20,0.037178777,0.049765103,0.004644766,0.012417841,0.019478004,0.049834404,0.004436968,0.008056823,0.023085741,0.017068624,0.028578142,0.042544875,0.015094225,0.028808698,0.028909456,0.018104024,0.01756871,0.023800928,0.037729688,0.013428228,0.020775404,0.25734732,0.010993332,0.121418886,0.015165543,0.04877138,0.011985345,0.01728709,0.015721701
2021-01-21,0.03715037,0.049848,0.004663381,0.01242869,0.019506907,0.049965166,0.0044486774,0.008070945,0.02311336,0.01710069,0.028601687,0.042573776,0.0151077155,0.028831167,0.028932817,0.018109016,0.017581986,0.023824098,0.037804913,0.0134368595,0.020808948,0.25663742,0.0110107865,0.12133685,0.015193306,0.048852395,0.01200667,0.01730413,0.01574923
2021-01-22,0.037166424,0.05003601,0.0046995813,0.012439388,0.019542642,0.050338857,0.0044751503,0.008099827,0.023166653,0.017176209,0.028656222,0.0426962,0.015120045,0.028887337,0.028979942,0.018118761,0.017602582,0.023868835,0.037897285,0.01344276,0.02084559,0.2551068,0.011054097,0.121090725,0.015248086,0.04905619,0.012055228,0.017339468,0.015793143
2021-01-25,0.037288185,0.05017787,0.004725248,0.012453931,0.019577127,0.050451268,0.0044905036,0.00810464,0.023189912,0.017212769,0.028716145,0.042732645,0.0151132755,0.028951272,0.028994147,0.018143224,0.017629273,0.023946743,0.038027942,0.013447154,0.020934392,0.2538857,0.0110796895,0.12091442,0.015301244,0.04917375,0.0120864725,0.017395424,0.015855702
2021-01-26,0.037357613,0.050409943,0.004765783,0.012470126,0.019634934,0.050702516,0.004516351,0.008118992,0.023227986,0.017278997,0.02878636,0.04278744,0.015120779,0.029031888,0.02903809,0.018165275,0.017658116,0.024023473,0.038207974,0.013455756,0.021043183,0.2521219,0.011122062,0.12067247,0.015378185,0.049388982,0.012133318,0.017453024,0.015928501
